Game,Max Score,Moves
1,4,24
2,2,21
3,1,15
4,0,15
5,7,39
6,0,18
7,0,12
8,3,21
9,2,24
10,0,15
11,0,18
12,0,12
13,0,12
14,0,9
15,0,12
16,0,12
17,3,24
18,0,15
19,0,18
20,0,18
21,0,9
22,6,30
23,3,24
24,0,15
25,3,27
26,2,24
27,0,15
28,1,12
29,2,21
30,0,15
31,1,21
32,0,12
33,1,18
34,0,12
35,0,12
36,2,18
37,1,18
38,1,15
39,0,18
40,0,9
41,1,18
42,0,15
43,0,12
44,1,15
45,1,15
46,1,18
47,0,15
48,1,15
49,2,24
50,0,21
51,1,12
52,0,12
53,2,18
54,0,15
55,2,18
56,0,12
57,0,15
58,0,15
59,0,18
60,1,12
61,1,18
62,0,12
63,0,12
64,6,27
65,0,12
66,0,18
67,1,18
68,0,12
69,0,21
70,0,12
71,1,15
72,1,15
73,1,18
74,0,12
75,0,12
76,1,15
77,0,12
78,1,15
79,0,15
80,2,18
81,0,18
82,0,12
83,0,15
84,0,12
85,9,39
86,0,12
87,1,15
88,2,15
89,1,15
90,6,30
91,1,12
92,0,9
93,0,12
94,1,21
95,0,9
96,0,21
97,0,15
98,3,27
99,2,21
100,0,18
